Train Set Index,Label,AUM
24900,Cloud,-12.084229
34728,Porcupine,-10.897371
45808,Cloud,-10.035063999999998
48116,Butterfly,-9.1525505
47070,Shrew,-8.89853425
6254,Rabbit,-7.969524999999999
41214,Willow Tree,-7.863920500000001
30589,Snake,-7.635757
31265,Caterpillar,-7.5838875
36108,Forest,-7.476436400000001
46483,Lamp,-7.43238975
42685,Orchid,-7.388253
1578,Plate,-7.36213235
34181,Beetle,-7.2041836
5597,Can,-6.916909499999999
43843,Shrew,-6.914295200000001
14241,Crab,-6.9085684999999994
15396,Can,-6.8970708
42291,Elephant,-6.8697040000000005
9052,Table,-6.8550407
687,Pine Tree,-6.854433
33026,Bus,-6.7654938499999995
33451,Television,-6.6357513
22850,Worm,-6.597847
27409,Sweet Pepper,-6.55213525
18326,Dinosaur,-6.542531200000001
37656,Lamp,-6.46257115
10401,Mushroom,-6.435828750000001
37257,Forest,-6.384215149999999
31134,Beetle,-6.3285623
2756,Hamster,-6.22184705
35292,Tulip,-6.193284050000001
13717,Pear,-6.1832168
26848,Tank,-6.1699278500000005
4625,Pear,-6.1493780000000005
32501,Ray,-6.130857499999999
32814,Train,-6.08908335
23457,Ray,-6.0775272000000005
18715,Chimpanzee,-6.0607775
33823,Television,-6.02263385
4417,Lamp,-6.008960500000001
11301,Shark,-5.987832
45001,Tulip,-5.95567185
17200,Crocodile,-5.950088
32012,Dinosaur,-5.947899700000001
5798,Mouse,-5.9228964
37644,Tiger,-5.896271
14584,Kangaroo,-5.8811093
23938,Crab,-5.8712222999999994
6484,Caterpillar,-5.8708329
23125,Crocodile,-5.85090475
18456,Mountain,-5.84774125
8077,Bee,-5.84277665
31377,Camel,-5.8361672
4956,Bowl,-5.82942035
2488,Snake,-5.82781225
7395,Turtle,-5.8209064
25365,Rabbit,-5.818445
25563,Forest,-5.7622573
48247,Television,-5.7138618
1123,Possum,-5.70485035
24319,Seal,-5.6836853
18506,Crab,-5.6706987
46747,Shark,-5.66500025
5718,Beetle,-5.654483000000001
9840,Camel,-5.63748875
10657,Crab,-5.6032968499999996
15602,Lawn Mower,-5.596375999999999
27569,Tractor,-5.574654349999999
18134,Cattle,-5.55933465
48845,Sweet Pepper,-5.5487988
41381,Dolphin,-5.5438915
34925,House,-5.5409243
33188,Otter,-5.5393186
29783,Cup,-5.5363643499999995
20745,Worm,-5.53480415
3060,Lawn Mower,-5.53402755
30513,Possum,-5.5253003
23380,Can,-5.521878299999999
35924,Leopard,-5.516900850000001
12615,Snake,-5.5044017
8986,Tulip,-5.4970077
49250,Beaver,-5.4891235
44869,Squirrel,-5.46874815
20,Shrew,-5.468516
35844,Mouse,-5.4673932999999995
40395,Possum,-5.4353397
22013,Cattle,-5.4311620000000005
6815,Ray,-5.430617999999999
21897,Table,-5.4205447
26166,Crab,-5.404704000000001
25844,Ray,-5.4001795
2409,Cattle,-5.387364999999999
13711,Willow Tree,-5.3810091
13863,Skunk,-5.36189715
306,Elephant,-5.35418125
13777,Bottle,-5.348906250000001
19091,Seal,-5.3448844
20289,Crocodile,-5.3118335000000005
36750,Dinosaur,-5.3069755
37423,Elephant,-5.30320485
27925,Snake,-5.30235385
42445,Table,-5.27954315
46197,House,-5.2766895
41868,Camel,-5.253814
31259,Elephant,-5.2530730000000005
42537,Dinosaur,-5.2520995500000005
26182,Rabbit,-5.2513292499999995
33879,Bottle,-5.24388665
39355,Ray,-5.242573350000001
23163,Lizard,-5.2332525
21190,Caterpillar,-5.2170508
39777,Couch,-5.212123999999999
33795,Bear,-5.2095516
44081,Poppy,-5.2075885
41332,Skunk,-5.19463255
24728,Leopard,-5.19132415
31881,Pear,-5.1908513
193,Road,-5.18907385
34454,Rose,-5.1865369
2413,Dolphin,-5.177436
27607,Beaver,-5.1674355
14168,Ray,-5.152248999999999
33821,Spider,-5.1484133
32856,Telephone,-5.14402415
36696,Shark,-5.14004665
2062,Ray,-5.1217122999999996
12344,Snake,-5.1151406999999995
18861,Cockroach,-5.114997150000001
5016,Shark,-5.10770385
29168,Cup,-5.1048396
662,Crocodile,-5.1031815
36076,Rabbit,-5.0990933
